"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Maricopa County, AZ"	"04013"	"2000"	"2000"	498	3072149	16.2
	"Maricopa County, AZ"	"04013"	"2001"	"2001"	562	3175989	17.7
	"Maricopa County, AZ"	"04013"	"2002"	"2002"	635	3255388	19.5
	"Mohave County, AZ"	"04015"	"1999"	"1999"	35	150351	23.3
	"Mohave County, AZ"	"04015"	"2000"	"2000"	43	155032	27.7
	"Mohave County, AZ"	"04015"	"2001"	"2001"	44	160312	27.4
	"Mohave County, AZ"	"04015"	"2002"	"2002"	45	166155	27.1
	"Navajo County, AZ"	"04017"	"1999"	"1999"	32	96100	33.3
	"Navajo County, AZ"	"04017"	"2000"	"2000"	23	97470	23.6
	"Navajo County, AZ"	"04017"	"2001"	"2001"	32	97849	32.7
	"Navajo County, AZ"	"04017"	"2002"	"2002"	37	100123	37.0
	"Pima County, AZ"	"04019"	"1999"	"1999"	225	828905	27.1
	"Pima County, AZ"	"04019"	"2000"	"2000"	257	843746	30.5
	"Pima County, AZ"	"04019"	"2001"	"2001"	216	859280	25.1
	"Pima County, AZ"	"04019"	"2002"	"2002"	243	874267	27.8
	"Pinal County, AZ"	"04021"	"1999"	"1999"	28	173364	16.2
	"Pinal County, AZ"	"04021"	"2000"	"2000"	37	179727	20.6
	"Pinal County, AZ"	"04021"	"2001"	"2001"	31	187747	16.5
	"Pinal County, AZ"	"04021"	"2002"	"2002"	50	197082	25.4
	"Yavapai County, AZ"	"04025"	"1999"	"1999"	31	162943	19.0
	"Yavapai County, AZ"	"04025"	"2000"	"2000"	28	167517	16.7
	"Yavapai County, AZ"	"04025"	"2001"	"2001"	45	172636	26.1
	"Yavapai County, AZ"	"04025"	"2002"	"2002"	48	177362	27.1
	"Yuma County, AZ"	"04027"	"1999"	"1999"	25	155665	16.1
	"Yuma County, AZ"	"04027"	"2000"	"2000"	18	160026	Unreliable
	"Yuma County, AZ"	"04027"	"2001"	"2001"	22	162873	13.5
	"Yuma County, AZ"	"04027"	"2002"	"2002"	15	165398	Unreliable
	"Benton County, AR"	"05007"	"2001"	"2001"	11	159258	Unreliable
	"Benton County, AR"	"05007"	"2002"	"2002"	19	164926	Unreliable
	"Crittenden County, AR"	"05035"	"2002"	"2002"	11	50622	Unreliable
	"Garland County, AR"	"05051"	"2001"	"2001"	29	89032	32.6
	"Garland County, AR"	"05051"	"2002"	"2002"	17	89630	Unreliable
	"Jefferson County, AR"	"05069"	"2000"	"2000"	12	84278	Unreliable
	"Mississippi County, AR"	"05093"	"1999"	"1999"	10	52034	Unreliable
	"Pulaski County, AR"	"05119"	"1999"	"1999"	48	360312	13.3
	"Pulaski County, AR"	"05119"	"2000"	"2000"	39	361474	10.8
	"Pulaski County, AR"	"05119"	"2001"	"2001"	38	362866	10.5
	"Pulaski County, AR"	"05119"	"2002"	"2002"	53	364327	14.5
	"Saline County, AR"	"05125"	"2001"	"2001"	10	85473	Unreliable
	"Sebastian County, AR"	"05131"	"1999"	"1999"	13	113302	Unreliable
	"Sebastian County, AR"	"05131"	"2000"	"2000"	19	115071	Unreliable
	"Sebastian County, AR"	"05131"	"2001"	"2001"	23	116488	19.7
	"Sebastian County, AR"	"05131"	"2002"	"2002"	22	117200	18.8
	"Union County, AR"	"05139"	"2000"	"2000"	11	45629	Unreliable
	"Washington County, AR"	"05143"	"1999"	"1999"	10	154627	Unreliable
	"Washington County, AR"	"05143"	"2000"	"2000"	12	157715	Unreliable
	"Washington County, AR"	"05143"	"2001"	"2001"	22	163151	13.5
	"Washington County, AR"	"05143"	"2002"	"2002"	18	166859	Unreliable
	"Alameda County, CA"	"06001"	"1999"	"1999"	227	1427114	15.9
	"Alameda County, CA"	"06001"	"2000"	"2000"	242	1443741	16.8
	"Alameda County, CA"	"06001"	"2001"	"2001"	117	1469484	8.0
	"Alameda County, CA"	"06001"	"2002"	"2002"	249	1462106	17.0
	"Butte County, CA"	"06007"	"1999"	"1999"	32	201282	15.9
	"Butte County, CA"	"06007"	"2000"	"2000"	30	203171	14.8
	"Butte County, CA"	"06007"	"2001"	"2001"	27	206193	13.1
	"Butte County, CA"	"06007"	"2002"	"2002"	71	209120	34.0
	"Calaveras County, CA"	"06009"	"2001"	"2001"	10	41304	Unreliable
	"Calaveras County, CA"	"06009"	"2002"	"2002"	11	42380	Unreliable
	"Contra Costa County, CA"	"06013"	"1999"	"1999"	170	936983	18.1
	"Contra Costa County, CA"	"06013"	"2000"	"2000"	122	948816	12.9
	"Contra Costa County, CA"	"06013"	"2001"	"2001"	117	970952	12.1
	"Contra Costa County, CA"	"06013"	"2002"	"2002"	180	979862	18.4
	"Del Norte County, CA"	"06015"	"2000"	"2000"	10	27507	Unreliable
	"Del Norte County, CA"	"06015"	"2002"	"2002"	14	27397	Unreliable
	"El Dorado County, CA"	"06017"	"1999"	"1999"	39	154381	25.3
	"El Dorado County, CA"	"06017"	"2000"	"2000"	26	156299	16.6
	"El Dorado County, CA"	"06017"	"2001"	"2001"	20	161101	12.4
	"El Dorado County, CA"	"06017"	"2002"	"2002"	42	165195	25.4
	"Fresno County, CA"	"06019"	"1999"	"1999"	156	789405	19.8
	"Fresno County, CA"	"06019"	"2000"	"2000"	130	799407	16.3
	"Fresno County, CA"	"06019"	"2001"	"2001"	151	813021	18.6
	"Fresno County, CA"	"06019"	"2002"	"2002"	194	829762	23.4
	"Humboldt County, CA"	"06023"	"1999"	"1999"	42	126676	33.2
	"Humboldt County, CA"	"06023"	"2000"	"2000"	44	126518	34.8
	"Humboldt County, CA"	"06023"	"2001"	"2001"	43	127520	33.7
	"Humboldt County, CA"	"06023"	"2002"	"2002"	63	128780	48.9
	"Imperial County, CA"	"06025"	"1999"	"1999"	35	141056	24.8
	"Imperial County, CA"	"06025"	"2000"	"2000"	28	142361	19.7
	"Imperial County, CA"	"06025"	"2001"	"2001"	25	143707	17.4
	"Imperial County, CA"	"06025"	"2002"	"2002"	24	145640	16.5
	"Kern County, CA"	"06029"	"1999"	"1999"	167	655428	25.5
	"Kern County, CA"	"06029"	"2000"	"2000"	161	661645	24.3
	"Kern County, CA"	"06029"	"2001"	"2001"	176	676574	26.0
	"Kern County, CA"	"06029"	"2002"	"2002"	200	694059	28.8
	"Kings County, CA"	"06031"	"1999"	"1999"	24	126402	19.0
	"Kings County, CA"	"06031"	"2000"	"2000"	14	129461	Unreliable
	"Kings County, CA"	"06031"	"2001"	"2001"	14	132881	Unreliable
	"Kings County, CA"	"06031"	"2002"	"2002"	25	135369	18.5
	"Lake County, CA"	"06033"	"1999"	"1999"	27	57214	47.2
	"Lake County, CA"	"06033"	"2000"	"2000"	27	58309	46.3
	"Lake County, CA"	"06033"	"2001"	"2001"	16	60219	Unreliable
	"Lake County, CA"	"06033"	"2002"	"2002"	32	61513	52.0
	"Los Angeles County, CA"	"06037"	"1999"	"1999"	1736	9437290	18.4
	"Los Angeles County, CA"	"06037"	"2000"	"2000"	1603	9519338	16.8
	"Los Angeles County, CA"	"06037"	"2001"	"2001"	1477	9626034	15.3
	"Los Angeles County, CA"	"06037"	"2002"	"2002"	1778	9705913	18.3
	"Madera County, CA"	"06039"	"1999"	"1999"	20	121883	16.4
	"Madera County, CA"	"06039"	"2000"	"2000"	26	123109	21.1
	"Madera County, CA"	"06039"	"2001"	"2001"	25	125581	19.9
	"Madera County, CA"	"06039"	"2002"	"2002"	32	128369	24.9
	"Marin County, CA"	"06041"	"1999"	"1999"	43	246269	17.5
	"Marin County, CA"	"06041"	"2000"	"2000"	38	247289	15.4
	"Marin County, CA"	"06041"	"2001"	"2001"	22	247866	8.9
	"Marin County, CA"	"06041"	"2002"	"2002"	46	246225	18.7
	"Mendocino County, CA"	"06045"	"1999"	"1999"	30	85665	35.0
	"Mendocino County, CA"	"06045"	"2000"	"2000"	19	86265	Unreliable
	"Mendocino County, CA"	"06045"	"2001"	"2001"	16	86841	Unreliable
	"Mendocino County, CA"	"06045"	"2002"	"2002"	30	87364	34.3
	"Merced County, CA"	"06047"	"1999"	"1999"	46	206734	22.3
	"Merced County, CA"	"06047"	"2000"	"2000"	28	210554	13.3
	"Merced County, CA"	"06047"	"2001"	"2001"	25	218816	11.4
	"Merced County, CA"	"06047"	"2002"	"2002"	40	225351	17.8
	"Monterey County, CA"	"06053"	"1999"	"1999"	66	396267	16.7
	"Monterey County, CA"	"06053"	"2000"	"2000"	58	401762	14.4
	"Monterey County, CA"	"06053"	"2001"	"2001"	58	407082	14.2
	"Monterey County, CA"	"06053"	"2002"	"2002"	68	408977	16.6
	"Napa County, CA"	"06055"	"1999"	"1999"	28	123026	22.8
	"Napa County, CA"	"06055"	"2000"	"2000"	16	124279	Unreliable
	"Napa County, CA"	"06055"	"2001"	"2001"	19	126818	Unreliable
	"Napa County, CA"	"06055"	"2002"	"2002"	32	128744	24.9
	"Nevada County, CA"	"06057"	"1999"	"1999"	18	90899	Unreliable
	"Nevada County, CA"	"06057"	"2000"	"2000"	15	92033	Unreliable
	"Nevada County, CA"	"06057"	"2001"	"2001"	21	93715	22.4
	"Nevada County, CA"	"06057"	"2002"	"2002"	38	94647	40.1
	"Orange County, CA"	"06059"	"1999"	"1999"	434	2815933	15.4
	"Orange County, CA"	"06059"	"2000"	"2000"	300	2846289	10.5
	"Orange County, CA"	"06059"	"2001"	"2001"	210	2885457	7.3
	"Orange County, CA"	"06059"	"2002"	"2002"	438	2908245	15.1
	"Placer County, CA"	"06061"	"1999"	"1999"	30	240928	12.5
	"Placer County, CA"	"06061"	"2000"	"2000"	38	248399	15.3
	"Placer County, CA"	"06061"	"2001"	"2001"	32	263615	12.1
	"Placer County, CA"	"06061"	"2002"	"2002"	39	276907	14.1
	"Riverside County, CA"	"06065"	"1999"	"1999"	350	1507912	23.2
	"Riverside County, CA"	"06065"	"2000"	"2000"	289	1545387	18.7
	"Riverside County, CA"	"06065"	"2001"	"2001"	270	1616634	16.7
	"Riverside County, CA"	"06065"	"2002"	"2002"	323	1687147	19.1
	"Sacramento County, CA"	"06067"	"1999"	"1999"	247	1206659	20.5
	"Sacramento County, CA"	"06067"	"2000"	"2000"	187	1223499	15.3
	"Sacramento County, CA"	"06067"	"2001"	"2001"	132	1266257	10.4
	"Sacramento County, CA"	"06067"	"2002"	"2002"	324	1301079	24.9
	"San Benito County, CA"	"06069"	"2000"	"2000"	10	53234	Unreliable
	"San Bernardino County, CA"	"06071"	"1999"	"1999"	363	1681601	21.6
	"San Bernardino County, CA"	"06071"	"2000"	"2000"	387	1709434	22.6
	"San Bernardino County, CA"	"06071"	"2001"	"2001"	292	1760731	16.6
	"San Bernardino County, CA"	"06071"	"2002"	"2002"	393	1799791	21.8
	"San Diego County, CA"	"06073"	"1999"	"1999"	527	2789593	18.9
	"San Diego County, CA"	"06073"	"2000"	"2000"	491	2813833	17.4
	"San Diego County, CA"	"06073"	"2001"	"2001"	332	2869672	11.6
	"San Diego County, CA"	"06073"	"2002"	"2002"	622	2900355	21.4
	"San Francisco County, CA"	"06075"	"1999"	"1999"	281	774716	36.3
	"San Francisco County, CA"	"06075"	"2000"	"2000"	258	776733	33.2
	"San Francisco County, CA"	"06075"	"2001"	"2001"	293	780865	37.5
	"San Francisco County, CA"	"06075"	"2002"	"2002"	271	772723	35.1
	"San Joaquin County, CA"	"06077"	"1999"	"1999"	115	552424	20.8
	"San Joaquin County, CA"	"06077"	"2000"	"2000"	93	563598	16.5
	"San Joaquin County, CA"	"06077"	"2001"	"2001"	91	591207	15.4
	"San Joaquin County, CA"	"06077"	"2002"	"2002"	141	609041	23.2
	"San Luis Obispo County, CA"	"06079"	"1999"	"1999"	52	243480	21.4
	"San Luis Obispo County, CA"	"06079"	"2000"	"2000"	46	246681	18.6
	"San Luis Obispo County, CA"	"06079"	"2001"	"2001"	37	251462	14.7
	"San Luis Obispo County, CA"	"06079"	"2002"	"2002"	62	253083	24.5
	"San Mateo County, CA"	"06081"	"1999"	"1999"	99	704538	14.1
	"San Mateo County, CA"	"06081"	"2000"	"2000"	73	707161	10.3
	"San Mateo County, CA"	"06081"	"2001"	"2001"	66	705621	9.4
	"San Mateo County, CA"	"06081"	"2002"	"2002"	100	697628	14.3
	"Santa Barbara County, CA"	"06083"	"1999"	"1999"	86	396906	21.7
	"Santa Barbara County, CA"	"06083"	"2000"	"2000"	79	399347	19.8
	"Santa Barbara County, CA"	"06083"	"2001"	"2001"	76	403164	18.9
	"Santa Barbara County, CA"	"06083"	"2002"	"2002"	84	405178	20.7
	"Santa Clara County, CA"	"06085"	"1999"	"1999"	206	1671498	12.3
	"Santa Clara County, CA"	"06085"	"2000"	"2000"	190	1682585	11.3
	"Santa Clara County, CA"	"06085"	"2001"	"2001"	164	1688082	9.7
	"Santa Clara County, CA"	"06085"	"2002"	"2002"	209	1669348	12.5
	"Santa Cruz County, CA"	"06087"	"1999"	"1999"	51	253667	20.1
	"Santa Cruz County, CA"	"06087"	"2000"	"2000"	53	255602	20.7
	"Santa Cruz County, CA"	"06087"	"2001"	"2001"	48	256045	18.7
	"Santa Cruz County, CA"	"06087"	"2002"	"2002"	65	254531	25.5
	"Shasta County, CA"	"06089"	"1999"	"1999"	60	161987	37.0
	"Shasta County, CA"	"06089"	"2000"	"2000"	47	163256	28.8
	"Shasta County, CA"	"06089"	"2001"	"2001"	33	166408	19.8
	"Shasta County, CA"	"06089"	"2002"	"2002"	62	170198	36.4
	"Siskiyou County, CA"	"06093"	"2002"	"2002"	15	43965	Unreliable
	"Solano County, CA"	"06095"	"1999"	"1999"	57	387657	14.7
	"Solano County, CA"	"06095"	"2000"	"2000"	50	394542	12.7
	"Solano County, CA"	"06095"	"2001"	"2001"	44	404209	10.9
	"Solano County, CA"	"06095"	"2002"	"2002"	65	408226	15.9
	"Sonoma County, CA"	"06097"	"1999"	"1999"	86	453421	19.0
	"Sonoma County, CA"	"06097"	"2000"	"2000"	83	458614	18.1
	"Sonoma County, CA"	"06097"	"2001"	"2001"	51	465293	11.0
	"Sonoma County, CA"	"06097"	"2002"	"2002"	109	465298	23.4
	"Stanislaus County, CA"	"06099"	"1999"	"1999"	99	438609	22.6
	"Stanislaus County, CA"	"06099"	"2000"	"2000"	107	446997	23.9
	"Stanislaus County, CA"	"06099"	"2001"	"2001"	108	463761	23.3
	"Stanislaus County, CA"	"06099"	"2002"	"2002"	135	477469	28.3
	"Sutter County, CA"	"06101"	"2000"	"2000"	14	78930	Unreliable
	"Sutter County, CA"	"06101"	"2002"	"2002"	14	82162	Unreliable
	"Tehama County, CA"	"06103"	"1999"	"1999"	15	55517	Unreliable
	"Tehama County, CA"	"06103"	"2001"	"2001"	10	56685	Unreliable
	"Tehama County, CA"	"06103"	"2002"	"2002"	15	57380	Unreliable
	"Tulare County, CA"	"06107"	"1999"	"1999"	62	364708	17.0
	"Tulare County, CA"	"06107"	"2000"	"2000"	52	368021	14.1
	"Tulare County, CA"	"06107"	"2001"	"2001"	40	373171	10.7
	"Tulare County, CA"	"06107"	"2002"	"2002"	60	379568	15.8
	"Tuolumne County, CA"	"06109"	"2002"	"2002"	17	55850	Unreliable
	"Ventura County, CA"	"06111"	"1999"	"1999"	120	743357	16.1
	"Ventura County, CA"	"06111"	"2000"	"2000"	121	753197	16.1
	"Ventura County, CA"	"06111"	"2001"	"2001"	96	766689	12.5
	"Ventura County, CA"	"06111"	"2002"	"2002"	127	779489	16.3
	"Yolo County, CA"	"06113"	"1999"	"1999"	30	165269	18.2
	"Yolo County, CA"	"06113"	"2000"	"2000"	31	168660	18.4
	"Yolo County, CA"	"06113"	"2001"	"2001"	24	175337	13.7
	"Yolo County, CA"	"06113"	"2002"	"2002"	32	180327	17.7
	"Yuba County, CA"	"06115"	"1999"	"1999"	23	59881	38.4
	"Yuba County, CA"	"06115"	"2000"	"2000"	10	60219	Unreliable
	"Adams County, CO"	"08001"	"1999"	"1999"	63	354146	17.8
	"Adams County, CO"	"08001"	"2000"	"2000"	69	363857	19.0
	"Adams County, CO"	"08001"	"2001"	"2001"	81	376115	21.5
	"Adams County, CO"	"08001"	"2002"	"2002"	100	387339	25.8
	"Arapahoe County, CO"	"08005"	"1999"	"1999"	72	482262	14.9
	"Arapahoe County, CO"	"08005"	"2000"	"2000"	80	487967	16.4
	"Arapahoe County, CO"	"08005"	"2001"	"2001"	101	502393	20.1
	"Arapahoe County, CO"	"08005"	"2002"	"2002"	100	508936	19.6
	"Boulder County, CO"	"08013"	"1999"	"1999"	45	285901	15.7
	"Boulder County, CO"	"08013"	"2000"	"2000"	38	291288	13.0
	"Boulder County, CO"	"08013"	"2001"	"2001"	53	300727	17.6
	"Boulder County, CO"	"08013"	"2002"	"2002"	49	303035	16.2
	"Denver County, CO"	"08031"	"1999"	"1999"	219	548848	39.9
	"Denver County, CO"	"08031"	"2000"	"2000"	200	554636	36.1
	"Denver County, CO"	"08031"	"2001"	"2001"	212	561976	37.7
	"Denver County, CO"	"08031"	"2002"	"2002"	229	556790	41.1
	"Douglas County, CO"	"08035"	"2000"	"2000"	10	175766	Unreliable
	"Douglas County, CO"	"08035"	"2001"	"2001"	15	196783	Unreliable
	"Douglas County, CO"	"08035"	"2002"	"2002"	10	208911	Unreliable
	"El Paso County, CO"	"08041"	"1999"	"1999"	128	509044	25.1
	"El Paso County, CO"	"08041"	"2000"	"2000"	111	516929	21.5
	"El Paso County, CO"	"08041"	"2001"	"2001"	134	535864	25.0
	"El Paso County, CO"	"08041"	"2002"	"2002"	142	544145	26.1
	"Fremont County, CO"	"08043"	"2000"	"2000"	11	46145	Unreliable
	"Fremont County, CO"	"08043"	"2001"	"2001"	17	46633	Unreliable
	"Fremont County, CO"	"08043"	"2002"	"2002"	12	47019	Unreliable
	"Jefferson County, CO"	"08059"	"1999"	"1999"	87	523325	16.6
	"Jefferson County, CO"	"08059"	"2000"	"2000"	97	527056	18.4
	"Jefferson County, CO"	"08059"	"2001"	"2001"	97	530452	18.3
	"Jefferson County, CO"	"08059"	"2002"	"2002"	96	529486	18.1
	"La Plata County, CO"	"08067"	"2001"	"2001"	12	45044	Unreliable
	"Larimer County, CO"	"08069"	"1999"	"1999"	33	246884	13.4
	"Larimer County, CO"	"08069"	"2000"	"2000"	35	251494	13.9
	"Larimer County, CO"	"08069"	"2001"	"2001"	36	260541	13.8
	"Larimer County, CO"	"08069"	"2002"	"2002"	32	265372	12.1
	"Mesa County, CO"	"08077"	"1999"	"1999"	19	114827	Unreliable
	"Mesa County, CO"	"08077"	"2000"	"2000"	23	116255	19.8
	"Mesa County, CO"	"08077"	"2001"	"2001"	26	119496	21.8
	"Mesa County, CO"	"08077"	"2002"	"2002"	25	122440	20.4
	"Montezuma County, CO"	"08083"	"1999"	"1999"	10	23601	Unreliable
	"Pueblo County, CO"	"08101"	"1999"	"1999"	32	140184	22.8
	"Pueblo County, CO"	"08101"	"2000"	"2000"	42	141472	29.7
	"Pueblo County, CO"	"08101"	"2001"	"2001"	35	144014	24.3
	"Pueblo County, CO"	"08101"	"2002"	"2002"	33	146537	22.5
	"Weld County, CO"	"08123"	"1999"	"1999"	27	174342	15.5
	"Weld County, CO"	"08123"	"2000"	"2000"	19	180936	Unreliable
	"Weld County, CO"	"08123"	"2001"	"2001"	30	192297	15.6
	"Weld County, CO"	"08123"	"2002"	"2002"	30	202246	14.8
	"Fairfield County, CT"	"09001"	"1999"	"1999"	108	877043	12.3
	"Fairfield County, CT"	"09001"	"2000"	"2000"	116	882567	13.1
	"Fairfield County, CT"	"09001"	"2001"	"2001"	102	889063	11.5
	"Fairfield County, CT"	"09001"	"2002"	"2002"	132	892900	14.8
	"Hartford County, CT"	"09003"	"1999"	"1999"	141	853039	16.5
	"Hartford County, CT"	"09003"	"2000"	"2000"	157	857183	18.3
	"Hartford County, CT"	"09003"	"2001"	"2001"	136	862573	15.8
	"Hartford County, CT"	"09003"	"2002"	"2002"	158	867451	18.2
	"Litchfield County, CT"	"09005"	"1999"	"1999"	30	181328	16.5
	"Litchfield County, CT"	"09005"	"2000"	"2000"	24	182193	13.2
	"Litchfield County, CT"	"09005"	"2001"	"2001"	26	184118	14.1
	"Litchfield County, CT"	"09005"	"2002"	"2002"	23	185974	12.4
	"Middlesex County, CT"	"09007"	"1999"	"1999"	17	153340	Unreliable
	"Middlesex County, CT"	"09007"	"2000"	"2000"	25	155071	16.1
	"Middlesex County, CT"	"09007"	"2001"	"2001"	18	157006	Unreliable
	"Middlesex County, CT"	"09007"	"2002"	"2002"	21	159187	13.2
	"New Haven County, CT"	"09009"	"1999"	"1999"	138	820396	16.8
	"New Haven County, CT"	"09009"	"2000"	"2000"	130	824008	15.8
	"New Haven County, CT"	"09009"	"2001"	"2001"	127	829875	15.3
	"New Haven County, CT"	"09009"	"2002"	"2002"	166	835099	19.9
	"New London County, CT"	"09011"	"1999"	"1999"	34	257568	13.2
	"New London County, CT"	"09011"	"2000"	"2000"	45	259088	17.4
	"New London County, CT"	"09011"	"2001"	"2001"	38	261396	14.5
	"New London County, CT"	"09011"	"2002"	"2002"	43	264698	16.2
	"Tolland County, CT"	"09013"	"1999"	"1999"	17	134939	Unreliable
	"Tolland County, CT"	"09013"	"2000"	"2000"	17	136364	Unreliable
	"Tolland County, CT"	"09013"	"2001"	"2001"	15	138934	Unreliable
	"Tolland County, CT"	"09013"	"2002"	"2002"	13	142362	Unreliable
	"Windham County, CT"	"09015"	"1999"	"1999"	20	108748	18.4
	"Windham County, CT"	"09015"	"2000"	"2000"	17	109091	Unreliable
	"Windham County, CT"	"09015"	"2001"	"2001"	24	109870	21.8
