"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	"1999"	"1999"	23	137555	16.7
	"Baldwin County, AL"	"01003"	"2000"	"2000"	20	140415	14.2
	"Baldwin County, AL"	"01003"	"2001"	"2001"	20	144875	13.8
	"Baldwin County, AL"	"01003"	"2002"	"2002"	32	147957	21.6
	"Calhoun County, AL"	"01015"	"1999"	"1999"	14	114910	Unreliable
	"Calhoun County, AL"	"01015"	"2000"	"2000"	11	112249	Unreliable
	"Calhoun County, AL"	"01015"	"2001"	"2001"	13	111266	Unreliable
	"Escambia County, AL"	"01053"	"2002"	"2002"	10	38035	Unreliable
	"Etowah County, AL"	"01055"	"1999"	"1999"	13	104002	Unreliable
	"Etowah County, AL"	"01055"	"2000"	"2000"	17	103459	Unreliable
	"Etowah County, AL"	"01055"	"2001"	"2001"	12	102976	Unreliable
	"Houston County, AL"	"01069"	"2000"	"2000"	11	88787	Unreliable
	"Jefferson County, AL"	"01073"	"1999"	"1999"	110	662845	16.6
	"Jefferson County, AL"	"01073"	"2000"	"2000"	102	662047	15.4
	"Jefferson County, AL"	"01073"	"2001"	"2001"	114	660197	17.3
	"Jefferson County, AL"	"01073"	"2002"	"2002"	115	657518	17.5
	"Lauderdale County, AL"	"01077"	"1999"	"1999"	11	87590	Unreliable
	"Lauderdale County, AL"	"01077"	"2000"	"2000"	12	87966	Unreliable
	"Lauderdale County, AL"	"01077"	"2001"	"2001"	10	87791	Unreliable
	"Lauderdale County, AL"	"01077"	"2002"	"2002"	12	87627	Unreliable
	"Lee County, AL"	"01081"	"2000"	"2000"	13	115092	Unreliable
	"Lee County, AL"	"01081"	"2001"	"2001"	12	116819	Unreliable
	"Madison County, AL"	"01089"	"1999"	"1999"	20	274692	7.3
	"Madison County, AL"	"01089"	"2000"	"2000"	17	276700	Unreliable
	"Madison County, AL"	"01089"	"2001"	"2001"	24	281517	8.5
	"Madison County, AL"	"01089"	"2002"	"2002"	15	286439	Unreliable
	"Marshall County, AL"	"01095"	"2000"	"2000"	12	82231	Unreliable
	"Mobile County, AL"	"01097"	"1999"	"1999"	51	399323	12.8
	"Mobile County, AL"	"01097"	"2000"	"2000"	54	399843	13.5
	"Mobile County, AL"	"01097"	"2001"	"2001"	52	400129	13.0
	"Mobile County, AL"	"01097"	"2002"	"2002"	53	398549	13.3
	"Montgomery County, AL"	"01101"	"1999"	"1999"	23	223548	10.3
	"Montgomery County, AL"	"01101"	"2000"	"2000"	25	223510	11.2
	"Montgomery County, AL"	"01101"	"2001"	"2001"	14	223048	Unreliable
	"Montgomery County, AL"	"01101"	"2002"	"2002"	21	223185	9.4
	"Russell County, AL"	"01113"	"2002"	"2002"	10	49489	Unreliable
	"St. Clair County, AL"	"01115"	"2001"	"2001"	10	66093	Unreliable
	"Shelby County, AL"	"01117"	"2001"	"2001"	15	149358	Unreliable
	"Shelby County, AL"	"01117"	"2002"	"2002"	13	153976	Unreliable
	"Talladega County, AL"	"01121"	"2001"	"2001"	12	80939	Unreliable
	"Tuscaloosa County, AL"	"01125"	"1999"	"1999"	16	164411	Unreliable
	"Tuscaloosa County, AL"	"01125"	"2000"	"2000"	22	164875	13.3
	"Tuscaloosa County, AL"	"01125"	"2001"	"2001"	12	166951	Unreliable
	"Tuscaloosa County, AL"	"01125"	"2002"	"2002"	16	168154	Unreliable
	"Walker County, AL"	"01127"	"2000"	"2000"	14	70713	Unreliable
	"Walker County, AL"	"01127"	"2002"	"2002"	10	69765	Unreliable
	"Anchorage Borough, AK"	"02020"	"1999"	"1999"	59	259348	22.7
	"Anchorage Borough, AK"	"02020"	"2000"	"2000"	60	260283	23.1
	"Anchorage Borough, AK"	"02020"	"2001"	"2001"	80	264274	30.3
	"Anchorage Borough, AK"	"02020"	"2002"	"2002"	89	268229	33.2
	"Fairbanks North Star Borough, AK"	"02090"	"1999"	"1999"	20	83390	24.0
	"Fairbanks North Star Borough, AK"	"02090"	"2000"	"2000"	19	82840	Unreliable
	"Fairbanks North Star Borough, AK"	"02090"	"2001"	"2001"	23	84814	27.1
	"Fairbanks North Star Borough, AK"	"02090"	"2002"	"2002"	25	86095	29.0
	"Kenai Peninsula Borough, AK"	"02122"	"2000"	"2000"	19	49691	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	"2001"	"2001"	20	49986	40.0
	"Kenai Peninsula Borough, AK"	"02122"	"2002"	"2002"	16	50804	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	"2000"	"2000"	11	59322	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	"2001"	"2001"	17	61807	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	"2002"	"2002"	23	64353	35.7
	"Apache County, AZ"	"04001"	"1999"	"1999"	20	69801	28.7
	"Apache County, AZ"	"04001"	"2000"	"2000"	35	69423	50.4
	"Apache County, AZ"	"04001"	"2001"	"2001"	29	67863	42.7
	"Apache County, AZ"	"04001"	"2002"	"2002"	23	67319	34.2
	"Cochise County, AZ"	"04003"	"1999"	"1999"	16	116530	Unreliable
	"Cochise County, AZ"	"04003"	"2000"	"2000"	20	117755	17.0
	"Cochise County, AZ"	"04003"	"2001"	"2001"	24	118798	20.2
	"Cochise County, AZ"	"04003"	"2002"	"2002"	19	119847	Unreliable
	"Coconino County, AZ"	"04005"	"1999"	"1999"	22	115307	19.1
	"Coconino County, AZ"	"04005"	"2000"	"2000"	23	116320	19.8
	"Coconino County, AZ"	"04005"	"2001"	"2001"	15	118283	Unreliable
	"Coconino County, AZ"	"04005"	"2002"	"2002"	32	121308	26.4
	"Gila County, AZ"	"04007"	"1999"	"1999"	18	50990	Unreliable
	"Gila County, AZ"	"04007"	"2000"	"2000"	25	51335	48.7
	"Gila County, AZ"	"04007"	"2001"	"2001"	18	51274	Unreliable
	"Gila County, AZ"	"04007"	"2002"	"2002"	21	51478	40.8
	"Graham County, AZ"	"04009"	"1999"	"1999"	12	33279	Unreliable
	"La Paz County, AZ"	"04012"	"1999"	"1999"	12	19355	Unreliable
	"La Paz County, AZ"	"04012"	"2000"	"2000"	11	19715	Unreliable
	"Maricopa County, AZ"	"04013"	"1999"	"1999"	545	3004985	18.1
